trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.002, 'e': 0.599727876386733}",25,12,-23.405386865880388,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
104,False,"{'a': 0.002, 'e': 0.5967292370047993}",20,0,-17.29835315226108,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.5937455908197753}",20,13,13.848396708559598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.002, 'e': 0.5907768628656764}",20,8,-55.50543652998738,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
107,False,"{'a': 0.002, 'e': 0.587822978551348}",25,0,-53.17736437501824,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.5848838636585912}",20,11,-0.9584501174088489,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.5819594443402983}",20,0,5.697098333474989,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.5790496471185967}",20,0,-4.977621106069678,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.002, 'e': 0.5761543988830038}",20,0,-16.07279103253955,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.5732736268885887}",20,0,-66.66700028194656,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
113,False,"{'a': 0.002, 'e': 0.5704072587541459}",20,5,-56.09073468361254,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.002, 'e': 0.5675552224603752}",20,7,8.707433347453428,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.5647174463480732}",30,0,-89.16762946829232,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
116,False,"{'a': 0.002, 'e': 0.5618938591163328}",30,0,-34.53823846729383,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.5590843898207511}",25,17,-36.70141636871723,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.002, 'e': 0.5562889678716474}",20,3,-20.996300173506075,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.5535075230322892}",25,5,-25.47424773123156,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.002, 'e': 0.5507399854171278}",20,0,5.608339941610443,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.002, 'e': 0.5479862854900421}",30,0,-20.59937277175322,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.5452463540625919}",20,9,-15.689873439650075,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.002, 'e': 0.542520122292279}",25,14,-82.93704643755513,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
124,False,"{'a': 0.002, 'e': 0.5398075216808176}",20,12,1.8565410558080366,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.5371084840724134}",25,14,-41.53579767547946,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.002, 'e': 0.5344229416520514}",25,11,-3.944428551058839,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.002, 'e': 0.5317508269437912}",25,9,-75.30438812248687,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
128,False,"{'a': 0.002, 'e': 0.5290920728090721}",25,20,12.671883080396643,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.5264466124450268}",25,4,-47.874106204364246,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.002, 'e': 0.5238143793828016}",20,10,-11.634734745496882,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.002, 'e': 0.5211953074858876}",30,1,-78.27463273745433,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 1}",1
132,False,"{'a': 0.002, 'e': 0.5185893309484582}",30,10,-56.869167331054086,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.002, 'e': 0.515996384293716}",30,0,-30.259090284970917,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
134,False,"{'a': 0.002, 'e': 0.5134164023722474}",20,4,8.449116245104813,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.002, 'e': 0.5108493203603861}",35,23,-45.04065203581458,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
